"nuts2_code","country_code","year","fertility","poverty","family_exp"
"AL01","AL",2019,1.59,55.4,9.72
"AL02","AL",2019,1.28,49.2,9.72
"AL03","AL",2019,1.23,48.4,9.72
"BG31","BG",2017,1.85291,47.4,23.04
"BG32","BG",2017,1.71635,43,23.04
"BG33","BG",2017,1.68931,40.4,23.04
"BG34","BG",2017,2.10908,39.9,23.04
"BG41","BG",2017,1.45777,26,23.04
"BG42","BG",2017,1.79732,45,23.04
"BG31","BG",2018,1.88775,42,22.8
"BG32","BG",2018,1.75067,34.5,22.8
"BG33","BG",2018,1.73954,34.5,22.8
"BG34","BG",2018,2.10184,36.2,22.8
"BG41","BG",2018,1.46803,22.8,22.8
"BG42","BG",2018,1.83131,39.2,22.8
"BG31","BG",2019,1.90808,41.6,21.03
"BG32","BG",2019,1.77018,37.6,21.03
"BG33","BG",2019,1.83009,33.7,21.03
"BG34","BG",2019,2.15573,37.9,21.03
"BG41","BG",2019,1.53127,22.7,21.03
"BG42","BG",2019,1.87979,38.1,21.03
"CH01","CH",2017,1.52,20.4,47
"CH02","CH",2017,1.53,19.7,47
"CH03","CH",2017,1.52,17.3,47
"CH04","CH",2017,1.5,14.3,47
"CH05","CH",2017,1.54,17.9,47
"CH06","CH",2017,1.56,13.6,47
"CH07","CH",2017,1.37,34,47
"CH01","CH",2018,1.51,21.2,48.59
"CH02","CH",2018,1.53,19.1,48.59
"CH03","CH",2018,1.51,18.2,48.59
"CH04","CH",2018,1.47,11.9,48.59
"CH05","CH",2018,1.59,17.7,48.59
"CH06","CH",2018,1.59,12.5,48.59
"CH07","CH",2018,1.28,30.2,48.59
"CH01","CH",2019,1.47,26.1,55.48
"CH02","CH",2019,1.5,21.1,55.48
"CH03","CH",2019,1.5,18.8,55.48
"CH04","CH",2019,1.42,13.1,55.48
"CH05","CH",2019,1.53,17.2,55.48
"CH06","CH",2019,1.54,14.2,55.48
"CH07","CH",2019,1.26,26.7,55.48
"CZ01","CZ",2017,1.55,9.8,9.18
"CZ02","CZ",2017,1.79,11,9.18
"CZ03","CZ",2017,1.7,9.3,9.18
"CZ04","CZ",2017,1.67,16.1,9.18
"CZ05","CZ",2017,1.7,10.1,9.18
"CZ06","CZ",2017,1.73,11,9.18
"CZ07","CZ",2017,1.67,11.2,9.18
"CZ08","CZ",2017,1.6,19.7,9.18
"CZ01","CZ",2018,1.56,8.3,8.82
"CZ02","CZ",2018,1.74,9.4,8.82
"CZ03","CZ",2018,1.72,9.4,8.82
"CZ04","CZ",2018,1.66,17,8.82
"CZ05","CZ",2018,1.74,11.6,8.82
"CZ06","CZ",2018,1.76,11.3,8.82
"CZ07","CZ",2018,1.71,12.5,8.82
"CZ08","CZ",2018,1.68,16,8.82
"CZ01","CZ",2019,1.52,7.7,7.6
"CZ02","CZ",2019,1.76,9.6,7.6
"CZ03","CZ",2019,1.72,9.3,7.6
"CZ04","CZ",2019,1.71,19.7,7.6
"CZ05","CZ",2019,1.76,12.4,7.6
"CZ06","CZ",2019,1.77,11.9,7.6
"CZ07","CZ",2019,1.67,12.8,7.6
"CZ08","CZ",2019,1.66,15.1,7.6
"DK01","DK",2017,1.67,18.9,0
"DK02","DK",2017,1.83,17.9,0
"DK03","DK",2017,1.82,17.6,0
"DK04","DK",2017,1.83,16,0
"DK05","DK",2017,1.81,18.4,0
"DK01","DK",2018,1.65,19.6,0
"DK02","DK",2018,1.83,16.8,0
"DK03","DK",2018,1.78,15.7,0
"DK04","DK",2018,1.81,15.8,0
"DK05","DK",2018,1.77,19.2,0
"DK01","DK",2019,1.66,18.2,0
"DK02","DK",2019,1.76,14.3,0
"DK03","DK",2019,1.73,18.1,0
"DK04","DK",2019,1.75,17,0
"DK05","DK",2019,1.75,17.7,0
"EL30","EL",2018,1.36,27,193.91
"EL41","EL",2018,1.63,31.9,193.91
"EL42","EL",2018,1.54,31.6,193.91
"EL43","EL",2018,1.52,34.8,193.91
"EL51","EL",2018,1.32,33.5,193.91
"EL52","EL",2018,1.28,29.3,193.91
"EL53","EL",2018,1.26,36.5,193.91
"EL54","EL",2018,1.22,31.1,193.91
"EL61","EL",2018,1.32,32.9,193.91
"EL62","EL",2018,1.6,26.2,193.91
"EL63","EL",2018,1.29,41.1,193.91
"EL64","EL",2018,1.23,28.7,193.91
"EL65","EL",2018,1.35,29.2,193.91
"EL30","EL",2019,1.35,24.5,136.44
"EL41","EL",2019,1.6,30.7,136.44
"EL42","EL",2019,1.62,30.1,136.44
"EL43","EL",2019,1.54,30.5,136.44
"EL51","EL",2019,1.3,34,136.44
"EL52","EL",2019,1.27,30.6,136.44
"EL53","EL",2019,1.26,33.6,136.44
"EL54","EL",2019,1.24,26.8,136.44
"EL61","EL",2019,1.28,28.3,136.44
"EL62","EL",2019,1.55,22.3,136.44
"EL63","EL",2019,1.32,39.8,136.44
"EL64","EL",2019,1.12,28.3,136.44
"EL65","EL",2019,1.32,35.1,136.44
"ES11","ES",2017,1.11971,23,14.94
"ES12","ES",2017,1.0277,17.8,14.94
"ES13","ES",2017,1.16135,20.5,14.94
"ES21","ES",2017,1.3205,15,14.94
"ES22","ES",2017,1.4463,13.2,14.94
"ES23","ES",2017,1.33934,13.9,14.94
"ES24","ES",2017,1.32689,16.2,14.94
"ES30","ES",2017,1.31942,21.7,14.94
"ES41","ES",2017,1.14147,19.2,14.94
"ES42","ES",2017,1.30795,34.9,14.94
"ES43","ES",2017,1.28931,44.9,14.94
"ES51","ES",2017,1.36858,20.2,14.94
"ES52","ES",2017,1.29225,31.9,14.94
"ES53","ES",2017,1.24946,25.2,14.94
"ES61","ES",2017,1.35638,39,14.94
"ES62","ES",2017,1.54678,35.6,14.94
"ES63","ES",2017,1.79543,46.9,14.94
"ES64","ES",2017,2.2558,30.2,14.94
"ES70","ES",2017,1.07193,39.9,14.94
"ES11","ES",2018,1.04073,24.1,14.99
"ES12","ES",2018,1.02771,21.8,14.99
"ES13","ES",2018,1.11039,24.4,14.99
"ES21","ES",2018,1.27534,12.2,14.99
"ES22","ES",2018,1.37788,13.1,14.99
"ES23","ES",2018,1.23376,19.1,14.99
"ES24","ES",2018,1.28449,17.8,14.99
"ES30","ES",2018,1.26087,20.9,14.99
"ES41","ES",2018,1.14267,19.8,14.99
"ES42","ES",2018,1.26129,33.4,14.99
"ES43","ES",2018,1.21358,43.7,14.99
"ES51","ES",2018,1.30934,18.9,14.99
"ES52","ES",2018,1.23939,30.7,14.99
"ES53","ES",2018,1.24665,17.3,14.99
"ES61","ES",2018,1.31519,41.7,14.99
"ES62","ES",2018,1.52629,33.2,14.99
"ES63","ES",2018,1.68002,48.9,14.99
