Substance	ISO	Country	Subnational code *	Subnational desc	Sector	Y_2017	Y_2018	Y_2019	Y_2020	Y_2021	Y_2022	Y_2023
GWP_100_AR5_GHG	ABW	Aruba	N/A		Agriculture	2,45236576	2,45236576	2,461254338	2,470189332	2,483232103	2,489405371	2,495593986
GWP_100_AR5_GHG	ABW	Aruba	N/A		Buildings	39,41489379	43,2149781	52,57558399	38,80332761	42,19693814	41,79043806	43,80764918
GWP_100_AR5_GHG	ABW	Aruba	N/A		Dom_Avi	19,84020699	16,71116443	25,68698673	11,3021708	12,56824074	17,74928784	20,81672044
GWP_100_AR5_GHG	ABW	Aruba	N/A		Dom_Ship	9,859202301	9,710297978	11,49459982	9,962881205	10,8016466	10,98294186	12,2793975
GWP_100_AR5_GHG	ABW	Aruba	N/A		Energy	224,1065349	227,0338373	268,8562663	233,6504736	253,7968554	252,088952	264,3533422
GWP_100_AR5_GHG	ABW	Aruba	N/A		Indirect	3,737402419	3,778802849	4,478313379	3,699821846	4,064858402	4,272692576	4,507260186
GWP_100_AR5_GHG	ABW	Aruba	N/A		Industry	37,70966039	32,60706873	33,95686508	30,11628446	38,03018595	37,89158085	39,54702692
GWP_100_AR5_GHG	ABW	Aruba	N/A		Transport	141,8434494	142,7224128	172,0865797	134,6522542	149,6647201	148,6403023	155,8736494
GWP_100_AR5_GHG	ABW	Aruba	N/A		Waste	17,17681883	17,30099131	17,40144637	17,50253822	17,59483422	17,69748688	17,81696477
GWP_100_AR5_GHG	AFG	Afghanistan	N/A		Agriculture	15490,41431	15075,62616	15215,72644	15059,33618	14926,36923	14968,32649	15178,11642
GWP_100_AR5_GHG	AFG	Afghanistan	N/A		Buildings	736,8087909	866,3839515	761,8071587	781,0726168	802,3650815	834,6387186	851,2212156
GWP_100_AR5_GHG	AFG	Afghanistan	N/A		Dom_Avi	219,4129206	243,4859713	100,1166942	97,73424868	106,7679544	145,7675294	192,0432321
GWP_100_AR5_GHG	AFG	Afghanistan	N/A		Dom_Ship	120,584979	161,9219186	141,8597298	113,7513112	144,9781656	148,3903917	143,4399473
