STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,landcover,Land cover,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT,Austria,2009,,5.4,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT,Austria,2012,,4.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT,Austria,2015,,4.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT,Austria,2018,,4.9,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT1,Ostösterreich,2009,,10.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT1,Ostösterreich,2012,,8.7,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT1,Ostösterreich,2015,,8,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT1,Ostösterreich,2018,,6.6,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT11,Burgenland,2009,,25.3,,,,,
dataflow,ESTAT:LAN_LCV_OVW$DEFAULTVIEW(1.0),Land cover overview by NUTS 2 region,A,Annual,CVA,Coefficient of variation for absolute value,LCA,Artificial land,AT11,Burgenland,2012,,20.7,,,,,
