"nuts2_code","year","urban_coverage%"
"AT",2018,4.9
"AT1",2018,6.6
"AT11",2018,14.4
"AT12",2018,8.3
"AT13",2018,14.1
"AT2",2018,12.3
"AT21",2018,15.8
"AT22",2018,16.5
"AT3",2018,7.4
"AT31",2018,9.3
"AT32",2018,20.8
"AT33",2018,17.4
"AT34",2018,25.3
"BE",2018,4.2
"BE1",2018,12.2
"BE10",2018,12.2
"BE2",2018,5.1
"BE21",2018,8.7
"BE22",2018,17
"BE23",2018,11.9
"BE24",2018,11.4
"BE25",2018,11
"BE3",2018,8.1
"BE31",2018,19.4
"BE32",2018,9.5
"BE33",2018,15.5
"BE34",2018,36.8
"BE35",2018,23.4
"BG",2018,8.4
"BG3",2018,10.8
"BG31",2018,15.7
"BG32",2018,25.1
"BG33",2018,18.4
"BG34",2018,27.1
"BG4",2018,13.2
"BG41",2018,14.1
"BG42",2018,23
"CY",2018,6.5
"CY0",2018,6.5
"CY00",2018,6.5
"CZ01",2018,36.4
"CZ02",2018,26.8
"CZ03",2018,15.6
"CZ04",2018,20.8
"CZ05",2018,16.5
"CZ06",2018,17.9
"CZ07",2018,26.9
"CZ08",2018,27.7
"DE",2018,2.5
"DE1",2018,8.5
"DE11",2018,16.4
"DE12",2018,18.4
"DE13",2018,17.4
"DE14",2018,12.8
"DE2",2018,5.3
"DE21",2018,8.7
"DE22",2018,12.8
"DE23",2018,20.7
"DE24",2018,18.1
"DE25",2018,14.8
"DE26",2018,17.1
"DE27",2018,10.8
"DE3",2018,26.3
"DE30",2018,26.3
"DE4",2018,11.4
"DE40",2018,11.4
"DE5",2018,12.4
"DE50",2018,12.4
"DE6",2018,15.1
"DE60",2018,15.1
"DE7",2018,8
"DE71",2018,10.2
"DE72",2018,21.8
"DE73",2018,14
"DE8",2018,21.4
"DE80",2018,21.4
"DE9",2018,5.8
"DE91",2018,13.7
"DE92",2018,15
"DE93",2018,12.6
"DE94",2018,8.1
"DEA",2018,6
"DEA1",2018,9.2
"DEA2",2018,11.4
"DEA3",2018,13.4
"DEA4",2018,13.5
"DEA5",2018,17.1
"DEB",2018,9.4
"DEB1",2018,14.6
"DEB2",2018,24.5
"DEB3",2018,13.5
"DEC",2018,17.6
"DEC0",2018,17.6
"DED",2018,8.6
"DED2",2018,14.6
"DED4",2018,10
"DED5",2018,18.7
"DEE",2018,14.8
"DEE0",2018,14.8
"DEF",2018,16.2
"DEF0",2018,16.2
"DEG",2018,9.5
"DEG0",2018,9.5
"DK",2018,5.3
"DK0",2018,5.3
"DK01",2018,14.1
"DK02",2018,11.4
"DK03",2018,9.5
"DK04",2018,12.2
"DK05",2018,13.5
"EE",2018,9.2
"EE0",2018,9.2
"EE00",2018,9.2
"EL",2018,5.2
"EL3",2018,8.9
"EL30",2018,8.9
"EL4",2018,12.1
"EL41",2018,20.2
"EL42",2018,18.7
"EL43",2018,21.7
"EL5",2018,8.3
"EL51",2018,14.9
"EL52",2018,12
"EL53",2018,25.4
"EL54",2018,20.4
"EL6",2018,9.8
"EL61",2018,13.8
"EL62",2018,24.9
"EL63",2018,14.3
"EL64",2018,15.3
"EL65",2018,25.6
"ES",2018,3.1
"ES1",2018,7.3
"ES11",2018,9.4
"ES12",2018,13.6
"ES13",2018,14.2
"ES2",2018,7.1
"ES21",2018,12.5
"ES22",2018,13.4
"ES23",2018,22.5
"ES24",2018,11.2
"ES3",2018,7.4
"ES30",2018,7.4
"ES4",2018,7.6
"ES41",2018,14.4
"ES42",2018,8.9
"ES43",2018,10.8
"ES5",2018,5.7
"ES51",2018,7.6
"ES52",2018,8.2
"ES53",2018,23.4
"ES6",2018,6.9
"ES61",2018,8.1
"ES62",2018,12.5
"EU27_2007",2018,0.8
"EU27_2020",2018,0.9
"EU28",2018,0.8
"EU_V",2018,0.9
"FI",2018,5.3
"FI1",2018,5.3
"FI19",2018,9.6
"FI1B",2018,7.9
"FI1C",2018,8.2
"FI1D",2018,9.9
"FI2",2018,46.1
"FI20",2018,46.1
"FR",2018,2.5
"FR1",2018,16.6
"FR10",2018,16.6
"FRB",2018,8.9
"FRB0",2018,8.9
"FRC",2018,8.2
"FRC1",2018,11.6
"FRC2",2018,9.5
"FRD",2018,8.7
"FRD1",2018,12.2
