"nuts2_code","year","fertility","density","GWP","air_pollutant","pollutant_av"
"AT11",2017,1.36,79.7,"301,9198781","O3",5849.8
"AT11",2017,1.36,79.7,"301,9198781","PM2.5",13.3
"AT11",2017,1.36,79.7,"301,9198781","O3",5849.8
"AT11",2017,1.36,79.7,"301,9198781","PM2.5",13.3
"AT11",2017,1.36,79.7,"301,9198781","NO2",13
"AT11",2017,1.36,79.7,"301,9198781","NO2",13
"AT11",2017,1.36,79.7,"336,2057112","O3",5849.8
"AT11",2017,1.36,79.7,"336,2057112","PM2.5",13.3
"AT11",2017,1.36,79.7,"336,2057112","O3",5849.8
"AT11",2017,1.36,79.7,"336,2057112","PM2.5",13.3
"AT11",2017,1.36,79.7,"336,2057112","NO2",13
"AT11",2017,1.36,79.7,"336,2057112","NO2",13
"AT11",2017,1.36,79.7,"319,3005175","O3",5849.8
"AT11",2017,1.36,79.7,"319,3005175","PM2.5",13.3
"AT11",2017,1.36,79.7,"319,3005175","O3",5849.8
"AT11",2017,1.36,79.7,"319,3005175","PM2.5",13.3
"AT11",2017,1.36,79.7,"319,3005175","NO2",13
"AT11",2017,1.36,79.7,"319,3005175","NO2",13
"AT11",2017,1.36,79.7,"7,649597647","O3",5849.8
"AT11",2017,1.36,79.7,"7,649597647","PM2.5",13.3
"AT11",2017,1.36,79.7,"7,649597647","O3",5849.8
"AT11",2017,1.36,79.7,"7,649597647","PM2.5",13.3
"AT11",2017,1.36,79.7,"7,649597647","NO2",13
"AT11",2017,1.36,79.7,"7,649597647","NO2",13
"AT11",2017,1.36,79.7,"282,4931924","O3",5849.8
"AT11",2017,1.36,79.7,"282,4931924","PM2.5",13.3
"AT11",2017,1.36,79.7,"282,4931924","O3",5849.8
"AT11",2017,1.36,79.7,"282,4931924","PM2.5",13.3
"AT11",2017,1.36,79.7,"282,4931924","NO2",13
"AT11",2017,1.36,79.7,"282,4931924","NO2",13
"AT11",2017,1.36,79.7,"1238,614145","O3",5849.8
"AT11",2017,1.36,79.7,"1238,614145","PM2.5",13.3
"AT11",2017,1.36,79.7,"1238,614145","O3",5849.8
"AT11",2017,1.36,79.7,"1238,614145","PM2.5",13.3
"AT11",2017,1.36,79.7,"1238,614145","NO2",13
"AT11",2017,1.36,79.7,"1238,614145","NO2",13
"AT11",2017,1.36,79.7,"60,96061046","O3",5849.8
"AT11",2017,1.36,79.7,"60,96061046","PM2.5",13.3
"AT11",2017,1.36,79.7,"60,96061046","O3",5849.8
"AT11",2017,1.36,79.7,"60,96061046","PM2.5",13.3
"AT11",2017,1.36,79.7,"60,96061046","NO2",13
"AT11",2017,1.36,79.7,"60,96061046","NO2",13
"AT12",2017,1.57,88.2,"2133,398213","NO2",13.7
"AT12",2017,1.57,88.2,"2133,398213","NO2",13.7
"AT12",2017,1.57,88.2,"2133,398213","PM2.5",12.5
"AT12",2017,1.57,88.2,"2133,398213","O3",5401.6
"AT12",2017,1.57,88.2,"2133,398213","O3",5401.6
"AT12",2017,1.57,88.2,"2133,398213","PM2.5",12.5
"AT12",2017,1.57,88.2,"1923,511555","NO2",13.7
"AT12",2017,1.57,88.2,"1923,511555","NO2",13.7
"AT12",2017,1.57,88.2,"1923,511555","PM2.5",12.5
"AT12",2017,1.57,88.2,"1923,511555","O3",5401.6
"AT12",2017,1.57,88.2,"1923,511555","O3",5401.6
"AT12",2017,1.57,88.2,"1923,511555","PM2.5",12.5
"AT12",2017,1.57,88.2,"4502,619537","NO2",13.7
"AT12",2017,1.57,88.2,"4502,619537","NO2",13.7
"AT12",2017,1.57,88.2,"4502,619537","PM2.5",12.5
"AT12",2017,1.57,88.2,"4502,619537","O3",5401.6
"AT12",2017,1.57,88.2,"4502,619537","O3",5401.6
"AT12",2017,1.57,88.2,"4502,619537","PM2.5",12.5
"AT12",2017,1.57,88.2,"53,70120452","NO2",13.7
"AT12",2017,1.57,88.2,"53,70120452","NO2",13.7
"AT12",2017,1.57,88.2,"53,70120452","PM2.5",12.5
"AT12",2017,1.57,88.2,"53,70120452","O3",5401.6
"AT12",2017,1.57,88.2,"53,70120452","O3",5401.6
"AT12",2017,1.57,88.2,"53,70120452","PM2.5",12.5
"AT12",2017,1.57,88.2,"6024,890752","NO2",13.7
"AT12",2017,1.57,88.2,"6024,890752","NO2",13.7
"AT12",2017,1.57,88.2,"6024,890752","PM2.5",12.5
"AT12",2017,1.57,88.2,"6024,890752","O3",5401.6
"AT12",2017,1.57,88.2,"6024,890752","O3",5401.6
"AT12",2017,1.57,88.2,"6024,890752","PM2.5",12.5
"AT12",2017,1.57,88.2,"6960,062045","NO2",13.7
"AT12",2017,1.57,88.2,"6960,062045","NO2",13.7
"AT12",2017,1.57,88.2,"6960,062045","PM2.5",12.5
"AT12",2017,1.57,88.2,"6960,062045","O3",5401.6
"AT12",2017,1.57,88.2,"6960,062045","O3",5401.6
"AT12",2017,1.57,88.2,"6960,062045","PM2.5",12.5
"AT12",2017,1.57,88.2,"502,400372","NO2",13.7
"AT12",2017,1.57,88.2,"502,400372","NO2",13.7
"AT12",2017,1.57,88.2,"502,400372","PM2.5",12.5
"AT12",2017,1.57,88.2,"502,400372","O3",5401.6
"AT12",2017,1.57,88.2,"502,400372","O3",5401.6
"AT12",2017,1.57,88.2,"502,400372","PM2.5",12.5
"AT13",2017,1.41,4754.9,"16,34818276","NO2",27.1
"AT13",2017,1.41,4754.9,"16,34818276","NO2",27.1
"AT13",2017,1.41,4754.9,"16,34818276","O3",5309.4
"AT13",2017,1.41,4754.9,"16,34818276","O3",5309.4
"AT13",2017,1.41,4754.9,"16,34818276","PM2.5",14.4
"AT13",2017,1.41,4754.9,"16,34818276","PM2.5",14.4
"AT13",2017,1.41,4754.9,"1752,806283","NO2",27.1
"AT13",2017,1.41,4754.9,"1752,806283","NO2",27.1
"AT13",2017,1.41,4754.9,"1752,806283","O3",5309.4
