"nuts2_code","year","fertility","density","poverty","tertiary_educ"
"BG31",2017,1.85291,40.5,47.4,25.8
"BG31",2018,1.88775,39.8,42,26.7
"BG31",2019,1.90808,39,41.6,25.4
"BG32",2017,1.71635,54.6,43,28.1
"BG32",2018,1.75067,53.9,34.5,31.7
"BG32",2019,1.77018,53.1,37.6,32
"BG33",2017,1.68931,64.3,40.4,34
"BG33",2018,1.73954,64,34.5,31.3
"BG33",2019,1.83009,63.7,33.7,29
"BG34",2017,2.10908,53.2,39.9,27.1
"BG34",2018,2.10184,52.9,36.2,27.1
"BG34",2019,2.15573,52.5,37.9,27
"BG41",2017,1.45777,104.4,26,45.8
"BG41",2018,1.46803,104.1,22.8,45.7
"BG41",2019,1.53127,103.7,22.7,45.5
"BG42",2017,1.79732,64.3,45,27.8
"BG42",2018,1.83131,63.9,39.2,28.7
"BG42",2019,1.87979,63.7,38.1,28.4
"CH01",2017,1.52,196.4,20.4,41
"CH01",2018,1.51,198.2,21.2,42.8
"CH01",2019,1.47,199.7,26.1,43.3
"CH02",2017,1.53,191.2,19.7,33
"CH02",2018,1.53,192.1,19.1,34.5
"CH02",2019,1.5,193,21.1,36.3
"CH03",2017,1.52,593.1,17.3,38.1
"CH03",2018,1.51,598,18.2,40
"CH03",2019,1.5,603,18.8,41.1
"CH04",2017,1.5,904.6,14.3,47.6
"CH04",2018,1.47,914.5,11.9,49.2
"CH04",2019,1.42,925.1,13.1,51.1
"CH05",2017,1.54,103.4,17.9,29.6
"CH05",2018,1.59,104,17.7,32
"CH05",2019,1.53,104.6,17.2,33.1
"CH06",2017,1.56,188.7,13.6,36.7
"CH06",2018,1.59,190.4,12.5,38.1
"CH06",2019,1.54,191.9,14.2,36.8
"CH07",2017,1.37,129.5,34,35.7
"CH07",2018,1.28,129.4,30.2,39.5
"CH07",2019,1.26,128.9,26.7,37.5
"CZ01",2017,1.55,2654.7,9.8,45.2
"CZ01",2018,1.56,2683.7,8.3,46.7
"CZ01",2019,1.52,2714.3,7.7,45.7
"CZ02",2017,1.79,125.6,11,22.3
"CZ02",2018,1.74,127,9.4,25.1
"CZ02",2019,1.76,128.5,9.6,25.5
"CZ03",2017,1.7,71.1,9.3,22.2
"CZ03",2018,1.72,71.4,9.4,22.9
"CZ03",2019,1.72,71.8,9.3,23.8
"CZ04",2017,1.67,131.9,16.1,16.4
"CZ04",2018,1.66,131.7,17,16.2
"CZ04",2019,1.71,131.7,19.7,17.8
"CZ05",2017,1.7,123.2,10.1,21.9
"CZ05",2018,1.74,123.4,11.6,21.9
"CZ05",2019,1.76,123.7,12.4,20.9
"CZ06",2017,1.73,123.3,11,27
"CZ06",2018,1.76,123.6,11.3,27.6
"CZ06",2019,1.77,124,11.9,27.6
"CZ07",2017,1.67,133.4,11.2,22.4
"CZ07",2018,1.71,133.3,12.5,22.1
"CZ07",2019,1.67,133.2,12.8,23
"CZ08",2017,1.6,227.3,19.7,24.1
"CZ08",2018,1.68,226.7,16,23.5
"CZ08",2019,1.66,226.2,15.1,21.8
"DK01",2017,1.67,745.4,18.9,55.1
"DK01",2018,1.65,751.2,19.6,56.5
"DK01",2019,1.66,756,18.2,56.6
"DK02",2017,1.83,117.8,17.9,37.3
"DK02",2018,1.83,118.1,16.8,37.4
"DK02",2019,1.76,118.3,14.3,36.2
"DK03",2017,1.82,101.7,17.6,37.1
"DK03",2018,1.78,101.9,15.7,37.5
"DK03",2019,1.73,102,18.1,39.3
"DK04",2017,1.83,102.5,16,42.6
"DK04",2018,1.81,103.2,15.8,43.6
"DK04",2019,1.75,103.7,17,45.3
"DK05",2017,1.81,76.2,18.4,36.8
"DK05",2018,1.77,76.4,19.2,38.2
"DK05",2019,1.75,76.4,17.7,39
"EL30",2018,1.36,989.8,27,39.5
"EL30",2019,1.35,987.5,24.5,40.8
"EL41",2018,1.63,56.9,31.9,27.6
"EL41",2019,1.6,59.3,30.7,28
"EL42",2018,1.54,65.5,31.6,19.3
"EL42",2019,1.62,66.1,30.1,21
"EL43",2018,1.52,76.4,34.8,28
"EL43",2019,1.54,76.5,30.5,28.5
"EL51",2018,1.32,42.9,33.5,26.3
"EL51",2019,1.3,42.8,34,25.3
"EL52",2018,1.28,101.3,29.3,33.7
"EL52",2019,1.27,101.2,30.6,34
"EL53",2018,1.26,29.1,36.5,30.1
"EL53",2019,1.26,28.8,33.6,29.9
"EL54",2018,1.22,36.8,31.1,37.7
"EL54",2019,1.24,36.8,26.8,34.5
"EL61",2018,1.32,51.7,32.9,34.9
"EL61",2019,1.28,51.4,28.3,35.1
"EL62",2018,1.6,89.7,26.2,24.7
"EL62",2019,1.55,89.4,22.3,25.8
"EL63",2018,1.29,59.6,41.1,24.3
"EL63",2019,1.32,59.2,39.8,23.7
"EL64",2018,1.23,36,28.7,25.3
"EL64",2019,1.12,36.1,28.3,24.6
"EL65",2018,1.35,37.2,29.2,24.2
"EL65",2019,1.32,37.1,35.1,24.5
"ES11",2017,1.11971,92.1,23,40.1
"ES11",2018,1.04073,92,24.1,40.4
"ES11",2019,1.01814,92,24.2,41.3
"ES12",2017,1.0277,97.6,17.8,43.2
"ES12",2018,1.02771,97,21.8,45.2
"ES12",2019,0.95664,96.6,25,44.9
"ES13",2017,1.16135,110.4,20.5,42.8
"ES13",2018,1.11039,110.4,24.4,44.4
"ES13",2019,1.06379,110.5,19.8,45.5
"ES21",2017,1.3205,301.7,15,51.3
"ES21",2018,1.27534,302.4,12.2,51
"ES21",2019,1.24932,303.7,15,52.6
"ES22",2017,1.4463,62.1,13.2,48.7
"ES22",2018,1.37788,62.5,13.1,50
"ES22",2019,1.38361,63.1,12.4,50.7
"ES23",2017,1.33934,62.2,13.9,40.4
"ES23",2018,1.23376,62.3,19.1,41.3
"ES23",2019,1.30172,62.6,15.8,42.1
"ES24",2017,1.32689,27.7,16.2,38.6
"ES24",2018,1.28449,27.7,17.8,40.9
"ES24",2019,1.25335,27.9,20.5,42.3
"ES30",2017,1.31942,817,21.7,48.4
"ES30",2018,1.26087,827.3,20.9,48.1
"ES30",2019,1.21957,839.7,20.2,50.2
"ES41",2017,1.14147,25.9,19.2,40.1
"ES41",2018,1.14267,25.7,19.8,40.7
"ES41",2019,1.12497,25.6,16.8,42.8
"ES42",2017,1.30795,25.7,34.9,30.9
"ES42",2018,1.26129,25.7,33.4,31.3
"ES42",2019,1.24287,25.8,31,32.9
"ES43",2017,1.28931,26.2,44.9,28.9
"ES43",2018,1.21358,26.1,43.7,30.7
"ES43",2019,1.2167,26,36.9,31.6
"ES51",2017,1.36858,233.5,20.2,42.1
"ES51",2018,1.30934,235.5,18.9,43.3
"ES51",2019,1.26909,238.1,18.8,45.2
"ES52",2017,1.29225,213.6,31.9,36.3
"ES52",2018,1.23939,214.4,30.7,39.5
"ES52",2019,1.23134,216.2,28.2,40.5
"ES53",2017,1.24946,233,25.2,33.3
"ES53",2018,1.24665,236.8,17.3,33.7
"ES53",2019,1.17358,241.2,16.5,35.8
"ES61",2017,1.35638,96.9,39,32
"ES61",2018,1.31519,97,41.7,32.5
"ES61",2019,1.30586,97.4,39.3,33.4
"ES62",2017,1.54678,130.4,35.6,32.4
"ES62",2018,1.52629,131.1,33.2,33.2
"ES62",2019,1.49064,132.4,33.4,34.9
"ES63",2017,1.79543,4256.1,46.9,23.7
"ES63",2018,1.68002,4251,48.9,29.6
"ES63",2019,1.48046,4222.9,49,26.3
"ES64",2017,2.2558,6059.1,30.2,29.4
"ES64",2018,2.26992,6049.9,23.5,33.1
"ES64",2019,2.0991,6041.5,39.7,33.5
"ES70",2017,1.07193,291.8,39.9,31.6
"ES70",2018,1.00946,295.3,39.2,32.6
"ES70",2019,0.96995,299.4,38.3,34.9
"FI1B",2017,1.38,181,12,57.8
"FI1B",2018,1.33,182.8,11.1,58
"FI1B",2019,1.28,184.7,9.4,59.6
"FI1C",2017,1.47,36.8,16.1,47.7
"FI1C",2018,1.36,36.7,17.1,50.5
"FI1C",2019,1.3,36.6,14.7,51.7
"FI1D",2017,1.63,6.4,17.9,48.1
"FI1D",2018,1.53,6.3,20.3,48.3
"FI1D",2019,1.44,6.3,17.8,48.8
"HR03",2017,1.39,56.4,21.6,26.5
"HR03",2018,1.43,56.1,21.2,29.9
"HR03",2019,1.42,56,19.4,31.4
"HU11",2018,1.21,3433.4,16.5,46.8
"HU11",2019,1.19,3433.8,17.1,50.3
"HU12",2018,1.6,202.3,14.3,29.8
"HU12",2019,1.63,205.1,20.2,32.1
"HU21",2017,1.55,98.8,20.1,22.6
"HU21",2018,1.52,98.9,15.2,22.4
"HU21",2019,1.55,99.1,12.1,24.3
"HU22",2017,1.46,88,19.9,23.4
"HU22",2018,1.47,88.2,12.4,23.8
"HU22",2019,1.48,88.6,17,26.9
"HU23",2017,1.55,64.7,30.4,21.5
"HU23",2018,1.57,64.2,26.7,22.5
"HU23",2019,1.58,63.7,25,24
"HU31",2017,1.82,85.7,36.4,21.4
"HU31",2018,1.84,85,31.3,20.9
"HU31",2019,1.83,84.4,26.7,21.1
"HU32",2017,1.7,84.1,28.4,21.3
"HU32",2018,1.69,83.6,27.1,23.2
"HU32",2019,1.73,83.1,26,23.3
"HU33",2017,1.56,68.9,26.4,23.4
"HU33",2018,1.55,68.5,22.2,25.4
"HU33",2019,1.55,68.1,16.5,26.3
"IE04",2017,1.88,34.1,25.9,48
"IE04",2018,1.89,34.5,25.2,47.4
"IE04",2019,1.87,35,26.4,48.6
"IE05",2017,1.84,54.4,24,47.1
"IE05",2018,1.85,54.9,22.6,47.5
"IE05",2019,1.76,55.6,21,48.2
"IE06",2017,1.7,164.7,20.2,52.7
"IE06",2018,1.66,167.1,17.9,53.7
"IE06",2019,1.64,169.8,17.4,53.5
"ITC1",2017,1.34908,174.3,18.4,20.7
"ITC1",2018,1.29684,173.6,18.4,22.3
"ITC1",2019,1.27,172.3,16.3,21.4
"ITC2",2017,1.35592,39,17.2,22.2
"ITC2",2018,1.38873,38.8,13.1,23.5
"ITC2",2019,1.31,38.6,8.6,23.7
"ITC3",2017,1.29024,288.7,19,23.4
"ITC3",2018,1.24387,287.3,18.1,25.9
"ITC3",2019,1.21,284.3,17.5,25.2
"ITC4",2017,1.40535,435.1,16.9,23.5
"ITC4",2018,1.36258,436,14.9,24
"ITC4",2019,1.33,435.8,16.6,24
"ITF1",2017,1.25286,122,28.2,21.6
"ITF1",2018,1.2048,121.5,25.8,22.1
"ITF1",2019,1.17,120.5,24.4,24.1
"ITF2",2017,1.20144,69.6,35,23
"ITF2",2018,1.10607,69.1,25,22.4
"ITF2",2019,1.15,68.2,33.7,21.2
