"nuts2_code","country_code","year","fertility","poverty","family_exp","Mismatch"
"AL01","AL",2019,1.59,55.4,9.72,"High fertility, low investment"
"AL02","AL",2019,1.28,49.2,9.72,"Low investment, low fertility"
"AL03","AL",2019,1.23,48.4,9.72,"Low investment, low fertility"
"BG31","BG",2017,1.85291,47.4,23.04,"High fertility, low investment"
"BG32","BG",2017,1.71635,43,23.04,"High fertility, low investment"
"BG33","BG",2017,1.68931,40.4,23.04,"High fertility, low investment"
"BG34","BG",2017,2.10908,39.9,23.04,"High fertility, low investment"
"BG41","BG",2017,1.45777,26,23.04,"Low investment, low fertility"
"BG42","BG",2017,1.79732,45,23.04,"High fertility, low investment"
"BG31","BG",2018,1.88775,42,22.8,"High fertility, low investment"
"BG32","BG",2018,1.75067,34.5,22.8,"High fertility, low investment"
"BG33","BG",2018,1.73954,34.5,22.8,"High fertility, low investment"
"BG34","BG",2018,2.10184,36.2,22.8,"High fertility, low investment"
"BG41","BG",2018,1.46803,22.8,22.8,"Low investment, low fertility"
"BG42","BG",2018,1.83131,39.2,22.8,"High fertility, low investment"
"BG31","BG",2019,1.90808,41.6,21.03,"High fertility, low investment"
"BG32","BG",2019,1.77018,37.6,21.03,"High fertility, low investment"
"BG33","BG",2019,1.83009,33.7,21.03,"High fertility, low investment"
"BG34","BG",2019,2.15573,37.9,21.03,"High fertility, low investment"
"BG41","BG",2019,1.53127,22.7,21.03,"High fertility, low investment"
"BG42","BG",2019,1.87979,38.1,21.03,"High fertility, low investment"
"CH01","CH",2017,1.52,20.4,47,"Low investment, low fertility"
"CH02","CH",2017,1.53,19.7,47,"High fertility, low investment"
"CH03","CH",2017,1.52,17.3,47,"Low investment, low fertility"
"CH04","CH",2017,1.5,14.3,47,"Low investment, low fertility"
"CH05","CH",2017,1.54,17.9,47,"High fertility, low investment"
"CH06","CH",2017,1.56,13.6,47,"High fertility, low investment"
"CH07","CH",2017,1.37,34,47,"Low investment, low fertility"
"CH01","CH",2018,1.51,21.2,48.59,"Low investment, low fertility"
"CH02","CH",2018,1.53,19.1,48.59,"High fertility, low investment"
"CH03","CH",2018,1.51,18.2,48.59,"Low investment, low fertility"
"CH04","CH",2018,1.47,11.9,48.59,"Low investment, low fertility"
"CH05","CH",2018,1.59,17.7,48.59,"High fertility, low investment"
"CH06","CH",2018,1.59,12.5,48.59,"High fertility, low investment"
