"nuts2_code","country_code","year","fertility","poverty","family_exp","Mismatch","dist_to_median"
"NL42","NL",2018,1.45,16.9,95.35,"Low Priority Region",129.04629
"ES21","ES",2019,1.24932,15,339.1,"High Investment, Low Fertility",115.05697000000004
"NL42","NL",2018,1.45,16.9,95.35,"Low Priority Region",129.04629
"ITC3","IT",2018,1.24387,18.1,321.65,"High Investment, Low Fertility",97.61241999999999
"ES24","ES",2019,1.25335,20.5,339.1,"High Investment, Low Fertility",115.05294000000004
"SK02","SK",2019,1.4,10.2,353.22,"High Investment, Low Fertility",129.02629000000005
"PL41","PL",2019,1.55,17.3,308.95,"Balanced Investment",84.65370999999999
"ES23","ES",2017,1.33934,13.9,132.45,"Low Priority Region",92.05695
"ES30","ES",2017,1.31942,21.7,126.92,"Low Priority Region",97.60686999999999
"ITH2","IT",2019,1.42,11.4,329.86,"High Investment, Low Fertility",105.64629000000002
"ES51","ES",2019,1.26909,18.8,339.1,"High Investment, Low Fertility",115.03720000000003
"HU32","HU",2017,1.7,28.4,101.6,"High Fert / Low Spend",122.89371
"SK02","SK",2019,1.4,10.2,353.22,"High Investment, Low Fertility",129.02629000000005
"NL11","NL",2017,1.45,21.8,302.94,"High Investment, Low Fertility",78.69629
"PL21","PL",2019,1.51,18.1,308.95,"High Investment, Low Fertility",84.64629
"ITF3","IT",2019,1.31,48.2,136.04,"Low Priority Region",88.49629
"ES61","ES",2017,1.35638,39,132.45,"Low Priority Region",92.03991
"RO31","RO",2017,1.74,50.2,129.85,"High Fert / Low Spend",94.68371
"ES21","ES",2017,1.3205,15,126.92,"Low Priority Region",97.60578999999998
"ITF6","IT",2018,1.2891,40.7,122.81,"Low Priority Region",101.74718999999999
"HR03","HR",2017,1.39,21.6,119.03,"Low Priority Region",105.42629
"ES30","ES",2018,1.26087,20.9,112.7,"Low Priority Region",111.88542
"ES23","ES",2019,1.30172,15.8,339.1,"High Investment, Low Fertility",115.00457000000003
"CZ03","CZ",2018,1.72,9.4,105.79,"High Fert / Low Spend",118.72370999999998
"NL33","NL",2018,1.61,19.6,101.51,"High Fert / Low Spend",122.89370999999998
"CH04","CH",2018,1.47,11.9,96.89,"Low Priority Region",127.48629
"SK01","SK",2019,1.65,6.8,353.22,"Balanced Investment",129.02371000000002
"ES62","ES",2017,1.54678,35.6,298.88,"Balanced Investment",74.58049
"PT16","PT",2018,1.34243,22.8,145.81,"Low Priority Region",78.69385999999999
"RO22","RO",2018,1.84,50.3,142.69,"High Fert / Low Spend",81.94371
"PL92","PL",2019,1.51,21.1,308.95,"High Investment, Low Fertility",84.64629
"SI04","SI",2019,1.55,10.8,138.02,"High Fert / Low Spend",86.32370999999998
"ITC2","IT",2019,1.31,8.6,136.04,"Low Priority Region",88.49629
"PL63","PL",2019,1.62,15,314.6,"Balanced Investment",90.37371000000003
"ES51","ES",2017,1.36858,20.2,132.45,"Low Priority Region",92.02771
"PL84","PL",2019,1.42,20.5,318.03,"High Investment, Low Fertility",93.81628999999998
"ES51","ES",2018,1.30934,18.9,129.87,"Low Priority Region",94.66694999999999
"SE32","SE",2018,1.9,18.4,320.71,"Balanced Investment",96.76370999999999
"RO31","RO",2017,1.74,50.2,126.93,"High Fert / Low Spend",97.60370999999999
"ITH2","IT",2017,1.4863,17.1,123.62,"Low Priority Region",100.73998999999999
"ITF6","IT",2018,1.2891,40.7,122.81,"Low Priority Region",101.74718999999999
"PL72","PL",2019,1.26,20.3,326.74,"High Investment, Low Fertility",102.68629000000001
"HR03","HR",2017,1.39,21.6,119.03,"Low Priority Region",105.42629
"RO32","RO",2017,1.52,31.8,115.14,"Low Priority Region",109.18628999999999
"ES42","ES",2018,1.26129,33.4,112.7,"Low Priority Region",111.88499999999999
"ES13","ES",2019,1.06379,19.8,111.35,"Low Priority Region",113.4325
"ES61","ES",2019,1.30586,39.3,339.1,"High Investment, Low Fertility",115.00043000000002
"NL22","NL",2018,1.66,15.2,107.57,"High Fert / Low Spend",116.88371
"CZ03","CZ",2018,1.72,9.4,105.79,"High Fert / Low Spend",118.72370999999998
"EL51","EL",2018,1.32,33.5,103.47,"Low Priority Region",121.05628999999999
"NL42","NL",2018,1.45,16.9,101.51,"Low Priority Region",122.88628999999999
"RO32","RO",2018,1.53,28.2,99.5,"High Fert / Low Spend",124.82370999999999
"NL31","NL",2017,1.68,14.9,97,"High Fert / Low Spend",127.47371
"SK01","SK",2019,1.65,6.8,353.22,"Balanced Investment",129.02371000000002
"CZ03","CZ",2019,1.72,9.3,296.03,"Balanced Investment",71.90370999999998
"HU21","HU",2018,1.52,15.2,151.48,"Low Priority Region",72.84629000000001
"BG41","BG",2019,1.53127,22.7,149.93,"High Fert / Low Spend",74.39497999999999
"ITG2","IT",2018,1.03521,33.6,299,"High Investment, Low Fertility",75.17108
"ITI2","IT",2018,1.22402,17,145.94,"Low Priority Region",78.68226999999999
"ITH4","IT",2018,1.28507,12.2,303.34,"High Investment, Low Fertility",79.26121999999998
"HU12","HU",2018,1.6,14.3,142.49,"High Fert / Low Spend",81.90370999999999
"ITC3","IT",2017,1.29024,19,141.62,"Low Priority Region",82.93605
"PL21","PL",2019,1.51,18.1,308.95,"High Investment, Low Fertility",84.64629
"ITH4","IT",2017,1.31574,13.1,309.42,"High Investment, Low Fertility",85.31055000000002
"ITH3","IT",2019,1.29,10.3,138.25,"Low Priority Region",86.30628999999999
"CZ07","CZ",2017,1.67,11.2,311.81,"Balanced Investment",87.63371000000001
"ITF3","IT",2019,1.31,48.2,136.04,"Low Priority Region",88.49629
"ES41","ES",2018,1.14267,19.8,135.53,"Low Priority Region",89.17361999999999
"PL91","PL",2019,1.6,12.9,314.6,"Balanced Investment",90.35371000000004
"ITH4","IT",2017,1.31574,13.1,133.56,"Low Priority Region",90.97054999999999
"HR03","HR",2018,1.43,21.2,132.4,"Low Priority Region",92.01628999999998
"RO12","RO",2018,1.84,27.6,131.78,"High Fert / Low Spend",92.85370999999999
"PL63","PL",2019,1.62,15,318.03,"Balanced Investment",93.80370999999998
"ITC4","IT",2018,1.36258,14.9,130.22,"Low Priority Region",94.26370999999999
"ES61","ES",2018,1.31519,41.7,129.87,"Low Priority Region",94.66109999999999
"ITG1","IT",2019,1.33,45.4,128.3,"Low Priority Region",96.21628999999999
"SE31","SE",2018,1.89,19.5,320.71,"Balanced Investment",96.75370999999998
"ES53","ES",2019,1.17358,16.5,127.64,"Low Priority Region",97.03271
"RO31","RO",2017,1.74,50.2,126.93,"High Fert / Low Spend",97.60370999999999
"ES51","ES",2018,1.30934,18.9,125.44,"Low Priority Region",99.09694999999999
"ITH2","IT",2017,1.4863,17.1,123.62,"Low Priority Region",100.73998999999999
"RO31","RO",2017,1.74,50.2,123.5,"High Fert / Low Spend",101.03371
"RO42","RO",2017,1.58,31.8,122.63,"High Fert / Low Spend",101.74371
"ES61","ES",2019,1.30586,39.3,122.31,"Low Priority Region",102.23042999999998
"PL72","PL",2019,1.26,20.3,326.74,"High Investment, Low Fertility",102.68629000000001
"ES22","ES",2018,1.37788,13.1,119.89,"Low Priority Region",104.57840999999999
"HR04","HR",2017,1.43,24.8,119.03,"Low Priority Region",105.38628999999999
"ES64","ES",2017,2.2558,30.2,117.8,"High Fert / Low Spend",107.24951
"RO32","RO",2017,1.52,31.8,115.14,"Low Priority Region",109.18628999999999
"RO32","RO",2019,1.55,21.7,113.34,"High Fert / Low Spend",111.00370999999998
"ES21","ES",2018,1.27534,12.2,112.7,"Low Priority Region",111.87095
"ES63","ES",2017,1.79543,46.9,111.98,"High Fert / Low Spend",112.60914
"RO42","RO",2018,1.6,24.2,111,"High Fert / Low Spend",113.39371
"NL23","NL",2019,1.77,16.2,110.6,"High Fert / Low Spend",113.96370999999999
"ES64","ES",2017,2.2558,30.2,110.06,"High Fert / Low Spend",114.98951
"NL32","NL",2017,1.52,16.7,107.87,"Low Priority Region",116.45629
"NL31","NL",2018,1.63,13.5,107.57,"High Fert / Low Spend",116.85371
"CH07","CH",2019,1.26,26.7,106.76,"Low Priority Region",117.82628999999999
"NL33","NL",2018,1.61,19.6,105.69,"High Fert / Low Spend",118.71370999999999
