"nuts2_code,""year"",""fertility"",""density"",""GWP"",""NO2+Mean(pollutant_av)"",""O3+Mean(pollutant_av)"",""PM2.5+Mean(pollutant_av)"""
"AT11,2017,1.36,79.7,""1238,614145"",13,5849.8,13.3"
"AT11,2017,1.36,79.7,""282,4931924"",13,5849.8,13.3"
"AT11,2017,1.36,79.7,""301,9198781"",13,5849.8,13.3"
"AT11,2017,1.36,79.7,""319,3005175"",13,5849.8,13.3"
"AT11,2017,1.36,79.7,""336,2057112"",13,5849.8,13.3"
"AT11,2017,1.36,79.7,""60,96061046"",13,5849.8,13.3"
"AT11,2017,1.36,79.7,""7,649597647"",13,5849.8,13.3"
"AT11,2018,1.38,77.5,""1250,140054"",11.9,7043.6,14.6"
"AT11,2018,1.38,77.5,""291,0741246"",11.9,7043.6,14.6"
"AT11,2018,1.38,77.5,""295,470037"",11.9,7043.6,14.6"
"AT11,2018,1.38,77.5,""295,7821365"",11.9,7043.6,14.6"
"AT11,2018,1.38,77.5,""303,5676481"",11.9,7043.6,14.6"
"AT11,2018,1.38,77.5,""65,0734519"",11.9,7043.6,14.6"
"AT11,2018,1.38,77.5,""7,28475049"",11.9,7043.6,14.6"
"AT11,2019,1.39,77.8,""1251,520782"",11,6256.3,11.5"
"AT11,2019,1.39,77.8,""283,5797178"",11,6256.3,11.5"
"AT11,2019,1.39,77.8,""296,800789"",11,6256.3,11.5"
"AT11,2019,1.39,77.8,""300,1571931"",11,6256.3,11.5"
"AT11,2019,1.39,77.8,""308,5604682"",11,6256.3,11.5"
"AT11,2019,1.39,77.8,""66,12639024"",11,6256.3,11.5"
"AT11,2019,1.39,77.8,""7,0358489"",11,6256.3,11.5"
"AT12,2017,1.57,88.2,""1923,511555"",13.7,5401.6,12.5"
"AT12,2017,1.57,88.2,""2133,398213"",13.7,5401.6,12.5"
"AT12,2017,1.57,88.2,""4502,619537"",13.7,5401.6,12.5"
"AT12,2017,1.57,88.2,""502,400372"",13.7,5401.6,12.5"
"AT12,2017,1.57,88.2,""53,70120452"",13.7,5401.6,12.5"
"AT12,2017,1.57,88.2,""6024,890752"",13.7,5401.6,12.5"
"AT12,2017,1.57,88.2,""6960,062045"",13.7,5401.6,12.5"
"AT12,2018,1.52,88.5,""1743,773699"",13,7001.2,14.3"
"AT12,2018,1.52,88.5,""2089,49581"",13,7001.2,14.3"
"AT12,2018,1.52,88.5,""4216,751997"",13,7001.2,14.3"
"AT12,2018,1.52,88.5,""51,13992839"",13,7001.2,14.3"
"AT12,2018,1.52,88.5,""530,9559405"",13,7001.2,14.3"
"AT12,2018,1.52,88.5,""5986,41074"",13,7001.2,14.3"
"AT12,2018,1.52,88.5,""7029,177057"",13,7001.2,14.3"
"AT12,2019,1.5,88.9,""1779,076542"",11.8,5884.8,11.1"
"AT12,2019,1.5,88.9,""2094,941462"",11.8,5884.8,11.1"
"AT12,2019,1.5,88.9,""4150,329982"",11.8,5884.8,11.1"
"AT12,2019,1.5,88.9,""49,39260575"",11.8,5884.8,11.1"
"AT12,2019,1.5,88.9,""539,4195664"",11.8,5884.8,11.1"
"AT12,2019,1.5,88.9,""6637,134742"",11.8,5884.8,11.1"
"AT12,2019,1.5,88.9,""7043,629796"",11.8,5884.8,11.1"
"AT13,2017,1.41,4754.9,""0,942668259"",27.1,5309.4,14.4"
"AT13,2017,1.41,4754.9,""16,34818276"",27.1,5309.4,14.4"
"AT13,2017,1.41,4754.9,""172,2542626"",27.1,5309.4,14.4"
"AT13,2017,1.41,4754.9,""1752,806283"",27.1,5309.4,14.4"
"AT13,2017,1.41,4754.9,""2167,005574"",27.1,5309.4,14.4"
"AT13,2017,1.41,4754.9,""523,6926875"",27.1,5309.4,14.4"
"AT13,2017,1.41,4754.9,""678,3851728"",27.1,5309.4,14.4"
"AT13,2018,1.36,4780.6,""0,897707746"",26.1,6846.6,16.6"
"AT13,2018,1.36,4780.6,""15,95313859"",26.1,6846.6,16.6"
"AT13,2018,1.36,4780.6,""1670,614524"",26.1,6846.6,16.6"
"AT13,2018,1.36,4780.6,""175,9618339"",26.1,6846.6,16.6"
"AT13,2018,1.36,4780.6,""1858,838827"",26.1,6846.6,16.6"
"AT13,2018,1.36,4780.6,""527,5383035"",26.1,6846.6,16.6"
"AT13,2018,1.36,4780.6,""663,3111286"",26.1,6846.6,16.6"
"AT13,2019,1.35,4808.9,""0,867035331"",23.9,5706.3,13.1"
"AT13,2019,1.35,4808.9,""16,31430444"",23.9,5706.3,13.1"
"AT13,2019,1.35,4808.9,""1709,160057"",23.9,5706.3,13.1"
"AT13,2019,1.35,4808.9,""178,5128371"",23.9,5706.3,13.1"
"AT13,2019,1.35,4808.9,""1971,070866"",23.9,5706.3,13.1"
"AT13,2019,1.35,4808.9,""527,0392413"",23.9,5706.3,13.1"
"AT13,2019,1.35,4808.9,""646,399298"",23.9,5706.3,13.1"
"AT21,2017,1.51,59.9,""125,4355794"",15.8,6046.9,11.1"
"AT21,2017,1.51,59.9,""1537,227158"",15.8,6046.9,11.1"
"AT21,2017,1.51,59.9,""19,41153633"",15.8,6046.9,11.1"
"AT21,2017,1.51,59.9,""244,2902372"",15.8,6046.9,11.1"
"AT21,2017,1.51,59.9,""2764,883269"",15.8,6046.9,11.1"
"AT21,2017,1.51,59.9,""615,6192245"",15.8,6046.9,11.1"
"AT21,2017,1.51,59.9,""703,3442902"",15.8,6046.9,11.1"
"AT21,2018,1.44,59.9,""133,2209175"",14.5,6324.6,11.6"
"AT21,2018,1.44,59.9,""1600,641828"",14.5,6324.6,11.6"
"AT21,2018,1.44,59.9,""18,48570413"",14.5,6324.6,11.6"
"AT21,2018,1.44,59.9,""226,0580283"",14.5,6324.6,11.6"
"AT21,2018,1.44,59.9,""2791,04038"",14.5,6324.6,11.6"
"AT21,2018,1.44,59.9,""604,7385655"",14.5,6324.6,11.6"
"AT21,2018,1.44,59.9,""631,6182352"",14.5,6324.6,11.6"
"AT21,2019,1.4,59.9,""135,4603256"",13.8,5832.9,10.8"
"AT21,2019,1.4,59.9,""1518,434302"",13.8,5832.9,10.8"
"AT21,2019,1.4,59.9,""17,85409414"",13.8,5832.9,10.8"
"AT21,2019,1.4,59.9,""227,0761592"",13.8,5832.9,10.8"
"AT21,2019,1.4,59.9,""2794,679621"",13.8,5832.9,10.8"
"AT21,2019,1.4,59.9,""599,0490639"",13.8,5832.9,10.8"
"AT21,2019,1.4,59.9,""647,864922"",13.8,5832.9,10.8"
"AT22,2017,1.46,76.2,""1227,132548"",17.5,5771.4,12.9"
"AT22,2017,1.46,76.2,""1414,613357"",17.5,5771.4,12.9"
"AT22,2017,1.46,76.2,""3450,397947"",17.5,5771.4,12.9"
"AT22,2017,1.46,76.2,""39,52900701"",17.5,5771.4,12.9"
"AT22,2017,1.46,76.2,""4384,54944"",17.5,5771.4,12.9"
"AT22,2017,1.46,76.2,""5187,080659"",17.5,5771.4,12.9"
"AT22,2017,1.46,76.2,""860,4180409"",17.5,5771.4,12.9"
"AT22,2018,1.42,76.4,""1207,772754"",15.9,6597.6,13.9"
"AT22,2018,1.42,76.4,""1283,114612"",15.9,6597.6,13.9"
"AT22,2018,1.42,76.4,""3133,335089"",15.9,6597.6,13.9"
"AT22,2018,1.42,76.4,""37,6436731"",15.9,6597.6,13.9"
"AT22,2018,1.42,76.4,""4433,291245"",15.9,6597.6,13.9"
"AT22,2018,1.42,76.4,""4911,690379"",15.9,6597.6,13.9"
"AT22,2018,1.42,76.4,""888,6068694"",15.9,6597.6,13.9"
"AT22,2019,1.41,76.6,""1198,919885"",14.7,6110.7,11.7"
"AT22,2019,1.41,76.6,""1308,193704"",14.7,6110.7,11.7"
"AT22,2019,1.41,76.6,""3118,690103"",14.7,6110.7,11.7"
"AT22,2019,1.41,76.6,""36,35748353"",14.7,6110.7,11.7"
"AT22,2019,1.41,76.6,""4447,833231"",14.7,6110.7,11.7"
"AT22,2019,1.41,76.6,""4918,242317"",14.7,6110.7,11.7"
"AT22,2019,1.41,76.6,""902,0086866"",14.7,6110.7,11.7"
"AT31,2017,1.66,125.4,""10177,95265"",17.2,4753.9,12.6"
"AT31,2017,1.66,125.4,""1626,96087"",17.2,4753.9,12.6"
"AT31,2017,1.66,125.4,""2010,399468"",17.2,4753.9,12.6"
"AT31,2017,1.66,125.4,""2748,834692"",17.2,4753.9,12.6"
"AT31,2017,1.66,125.4,""32,46848896"",17.2,4753.9,12.6"
"AT31,2017,1.66,125.4,""376,3124276"",17.2,4753.9,12.6"
"AT31,2017,1.66,125.4,""4140,997618"",17.2,4753.9,12.6"
"AT31,2018,1.62,126.1,""1464,89168"",16.3,6620.4,13.6"
"AT31,2018,1.62,126.1,""1973,996405"",16.3,6620.4,13.6"
"AT31,2018,1.62,126.1,""2460,329829"",16.3,6620.4,13.6"
"AT31,2018,1.62,126.1,""30,91990609"",16.3,6620.4,13.6"
"AT31,2018,1.62,126.1,""402,2079226"",16.3,6620.4,13.6"
"AT31,2018,1.62,126.1,""4178,766785"",16.3,6620.4,13.6"
"AT31,2018,1.62,126.1,""9386,892828"",16.3,6620.4,13.6"
"AT31,2019,1.6,126.8,""1514,871695"",15.2,5461.2,11.4"
