STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AL01,Veri,2019,,1.59,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AL02,Qender,2019,,1.28,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AL03,Jug,2019,,1.23,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT11,Burgenland,2017,,1.36,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT11,Burgenland,2018,,1.38,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT11,Burgenland,2019,,1.39,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT12,Niederösterreich,2017,,1.57,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT12,Niederösterreich,2018,,1.52,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT12,Niederösterreich,2019,,1.50,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT13,Wien,2017,,1.41,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT13,Wien,2018,,1.36,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT13,Wien,2019,,1.35,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT21,Kärnten,2017,,1.51,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT21,Kärnten,2018,,1.44,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT21,Kärnten,2019,,1.40,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT22,Steiermark,2017,,1.46,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT22,Steiermark,2018,,1.42,,,,,
dataflow,ESTAT:TGS00100(1.0),Total fertility rate by NUTS 2 region,A,Annual,NR,Number,TOTAL,Total,AT22,Steiermark,2019,,1.41,,,,,
