STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL01,Veri,2017,,76.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL01,Veri,2018,,75.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL01,Veri,2019,,74.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL02,Qender,2017,,232.4,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL02,Qender,2018,,234.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL02,Qender,2019,,236.2,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL03,Jug,2017,,68.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL03,Jug,2018,,67.9,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AL03,Jug,2019,,67.1,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT11,Burgenland,2017,,79.7,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT11,Burgenland,2018,,77.5,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT11,Burgenland,2019,,77.8,,,,,
dataflow,ESTAT:TGS00024(1.0),Population density by NUTS 2 region,A,Annual,PER_KM2,Persons per square kilometre,AT12,Niederösterreich,2017,,88.2,,,,,
