Country Or Territory,NUTS Code,NUTS Name,Degree Of Urbanisation,Year,Air Pollutant,Data Aggregation Id,Scenario,Category,Outcome,Health Indicator,Sex,Description Of Age Group,Affected  Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Value,Value - lower CI,Value - upper CI,Value for 100k Of Affected Population,Value for 100k Of Affected Population - lower CI,Value for 100k Of Affected Population - upper CI
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","298178","1710.5","6346.7","5849.8","18","14","22","6","4","7"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","202426","1710.5","9.2","11.9","124","62","245","61","30","121"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","204157","1710.5","11.4","11.5","1322","1007","1475","647","493","722"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1141290","11103.4","9.6","13.7","1203","606","2369","105","53","207"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1705526","11103.4","7591.0","7001.2","125","99","151","7","5","8"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1712586","11103.4","6240.3","5884.8","1107","876","1337","64","51","78"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","200657","1710.5","12.8","13.3","165","125","184","82","62","91"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","202426","1710.5","9.2","11.9","12","6","23","6","3","11"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","299861","1710.5","7577.0","7043.6","235","186","285","78","62","95"
"Austria","AT11","Burgenland","All Areas (incl.unclassified)","2019","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","301099","1710.5","6494.5","6256.3","206","163","250","68","54","83"
"Austria","AT13","Wien","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1214456","351.9","19.4","26.1","5140","2605","10009","423","214","824"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","571493","2115.6","15.5","17.5","1215","613","2389","212","107","418"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","578961","2115.6","10.5","10.6","331","252","370","57","43","63"
"Belgium","BE23","Prov. Oost-Vlaanderen","All Areas (incl.unclassified)","2018","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","980464","2897.9","16.4","19.7","258","130","506","26","13","51"
"Belgium","BE23","Prov. Oost-Vlaanderen","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1506980","2897.9","3946.7","3857.5","61","48","74","4","3","4"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","858581","9222.6","11.2","13.9","7662","5853","8542","892","681","994"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2019","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","865936","9222.6","8.8","11.7","558","425","622","64","49","71"
"Belgium","BE22","Prov. Limburg (BE)","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","574966","2115.6","11.5","11.7","4168","3176","4653","725","552","809"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2017","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","546954","2576.5","6305.7","4568.6","276","219","334","50","40","61"
"Austria","AT32","Salzburg","All Areas (incl.unclassified)","2017","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","368068","2576.5","7.3","9.8","175","133","196","47","36","53"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1271849","9222.6","8286.8","6597.6","88","69","106","6","5","8"
"Austria","AT22","Steiermark","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 0 years of age","1271849","9222.6","8286.8","6597.6","937","742","1132","73","58","89"
"Belgium","BE21","Prov. Antwerpen","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1192324","2645.8","18.9","24.5","4893","2479","9535","410","207","799"
"Belgium","BE21","Prov. Antwerpen","All Areas (incl.unclassified)","2018","O3","SOMO35","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 0 years of age","1843750","2645.8","4315.2","3840.9","75","59","91","4","3","4"
"Belgium","BE21","Prov. Antwerpen","All Areas (incl.unclassified)","2018","PM2.5","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Years of Life Lost (YLL)","Total",">= 30 years of age","1199572","2645.8","12.8","14.3","11946","9126","13317","995","760","1110"
"Austria","AT12","Niederösterreich","All Areas (incl.unclassified)","2017","NO2","P1Y","Baseline from WHO 2021 AQG","Mortality","All causes","Attributable deaths (AD)","Total",">= 30 years of age","1141290","11103.4","9.6","13.7","118","59","233","10","5","20"
