STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,spscheme,Category of schemes,spdep,Detailed benefit expenditure type,spdepm,Means testing,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),AL,Albania,2019,,9.72,,p,provisional,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),AT,Austria,2017,,61.15,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),AT,Austria,2018,,64.05,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),AT,Austria,2019,,61.58,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BA,Bosnia and Herzegovina,2017,,7.49,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BA,Bosnia and Herzegovina,2018,,9.37,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BE,Belgium,2017,,6.2,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BE,Belgium,2018,,6.62,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BE,Belgium,2019,,12.94,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BG,Bulgaria,2017,,23.04,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BG,Bulgaria,2018,,22.8,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),BG,Bulgaria,2019,,21.03,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CH,Switzerland,2017,,47,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CH,Switzerland,2018,,48.59,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CH,Switzerland,2019,,55.48,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CY,Cyprus,2017,,193.84,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CY,Cyprus,2018,,185.21,,,,,
dataflow,ESTAT:SPR_EXP_FFA(1.0),Expenditure on family/children function by type of benefit and means-testing,A,Annual,TOTAL,All schemes,CASH,Cash benefits,MT,Means-tested,EUR_HAB_KP10,Euro per inhabitant (at constant 2010 prices),CY,Cyprus,2019,,181.62,,,,,
